color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,martin scorsese,240,116866727.0,biography|comedy|crime|drama,The Wolf of Wall Street,2013,english,usa,100000000.0,8.2,"leonardo dicaprio,matthew mcconaughey,jon favreau",138000
color,shane black,195,408992272.0,action|adventure|sci-fi,Iron Man 3,2013,english,usa,200000000.0,7.2,"robert downey jr.,jon favreau,don cheadle",95000
color ,quentin tarantino,187,54116191.0,crime|drama|mystery|thriller|western,The Hateful Eight,2015,english,usa,44000000.0,7.9,"craig stark,jennifer jason leigh,zoë bell",114000
color,kenneth lonergan,186,46495.0,drama,Margaret,2011,english,usa,14000000.0,6.5,"matt damon,kieran culkin,john gallagher jr.",0
color,peter jackson,186,258355354.0,adventure|fantasy,The Hobbit: The Desolation of Smaug,2013,english,usa,225000000.0,7.9,"aidan turner,adam brown,james nesbitt",83000
color,ridley scott,183,330249062.0,action|adventure|sci-fi,Batman v Superman: Dawn of Justice,202,english,usa,250000000.0,6.9,"henry cavill,lauren cohan,alan d. purwin",197000
color,edward hall,180,154191431.2747253,drama|romance,Restless,2012,english,uk,104857024.73684211,7.2,"rufus sewell,hayley atwell,charlotte rampling",434
color,joss whedon,173,623279547.0,action|adventure|sci-fi,The Avengers,2012,english,usa,220000000.0,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000
color,joss whedon,173,623279547.0,action|adventure|sci-fi,The Avengers,2012,english,usa,220000000.0,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000
color,null,158,102515793.0,crime|drama|mystery|thriller,The Girl with the Dragon Tattoo,2011,english,usa,90000000.0,7.8,"robin wright,goran visnjic,joely richardson",54000
color,christopher spencer,170,59696176.0,action|adventure|sci-fi,Son of God,2014,english,usa,22000000.0,5.6,"roma downey,amber rose revah,darwin shaw",15000
color,christopher nolan,169,187991439.0,adventure|drama|sci-fi,Interstellar,2014,english,usa,165000000.0,8.6,"matthew mcconaughey,anne hathaway,mackenzie foy",349000
color,f. gary gray,167,161029270.0,biography|crime|drama|history|music,Straight Outta Compton,2015,english,usa,28000000.0,7.9,"aldis hodge,neil brown jr.,r. marcos taylor",76000
color,richard linklater,165,25359200.0,drama,Boyhood,2014,english,usa,4000000.0,8.0,"ellar coltrane,lorelei linklater,libby villari",92000
color,quentin tarantino,580,162804648.0,drama|western,Django Unchained,2012,english,usa,100000000.0,8.5,"leonardo dicaprio,christoph waltz,ato essandoh",199000
color,michael bay,165,245428137.0,action|adventure|sci-fi,Transformers: Age of Extinction,2014,english,usa,210000000.0,5.7,"bingbing li,sophia myles,kelsey grammer",56000
color,christopher nolan,164,448130642.0,action|thriller,The Dark Knight Rises,2012,english,usa,250000000.0,8.5,"tom hardy,christian bale,joseph gordon-levitt",164000
color,peter jackson,164,255108370.0,adventure|fantasy,The Hobbit: The Battle of the Five Armies,2014,english,new zealand,250000000.0,7.5,"aidan turner,adam brown,james nesbitt",65000
color,tom hooper,158,148775460.0,drama|musical|romance,Les Misérables,2012,english,usa,61000000.0,7.6,"hugh jackman,eddie redmayne,anne hathaway",144000
color,tom hooper,158,148775460.0,drama|musical|romance,Les Misérables,2012,english,usa,61000000.0,7.6,"hugh jackman,eddie redmayne,anne hathaway",144000
